,layer,src,dst,interval,flit,counts,datatype,delay,map_src,map_dst,captain,tree,epfl,intermediate,path,count,id,issue_time
25,unet_layer2,[112],"[10, 27]",3072,9,128,weight,,[112],"[10, 27]",10,"[[10, 3], [10, 5], [10, 1], [26, 5], [26, 1], [11, 1], [27, 1]]",2,[],[],1,25,3072.0
26,unet_layer2,[112],"[11, 42]",3072,9,128,weight,,[112],"[11, 42]",11,"[[11, 3], [11, 4], [11, 1], [27, 3], [27, 4], [27, 1], [10, 1], [43, 4], [43, 1], [26, 1], [42, 1]]",3,[],[],1,26,3146.0
27,unet_layer2,[112],"[26, 43]",3072,9,128,weight,,[112],"[26, 43]",26,"[[26, 3], [26, 5], [26, 1], [42, 5], [42, 1], [27, 1], [43, 1]]",2,[],[],1,27,3112.0
28,unet_layer2,[57],"[26, 27]",3072,34,128,input,,[57],"[26, 27]",26,"[[26, 5], [26, 1], [27, 1]]",1,[],[],1,28,3072.0
39,unet_layer3,[7],"[12, 15]",96,9,2048,weight,,[7],"[12, 15]",12,"[[12, 5], [12, 1], [13, 5], [13, 1], [14, 5], [14, 1], [15, 1]]",3,[],[],1,39,96.0
40,unet_layer3,[7],"[13, 28]",96,9,2048,weight,,[7],"[13, 28]",13,"[[13, 3], [13, 4], [13, 1], [29, 4], [29, 1], [12, 1], [28, 1]]",2,[],[],1,40,96.0
41,unet_layer3,[7],"[14, 29]",96,9,2048,weight,,[7],"[14, 29]",14,"[[14, 3], [14, 4], [14, 1], [30, 4], [30, 1], [13, 1], [29, 1]]",2,[],[],1,41,96.0
54,unet_layer4,[7],"[44, 46, 60, 62]",9216,21,64,weight,,[7],"[44, 46, 60, 62]",44,"[[44, 3], [44, 5], [44, 1], [60, 5], [60, 1], [45, 5], [45, 1], [61, 5], [61, 1], [46, 1], [62, 1]]",3,[],[],1,54,9216.0
56,unet_layer4,[31],"[44, 45]",9216,23,64,input,,[31],"[44, 45]",44,"[[44, 5], [44, 1], [45, 1]]",1,[],[],1,56,9216.0
57,unet_layer4,[31],"[46, 47]",9216,23,64,input,,[31],"[46, 47]",46,"[[46, 5], [46, 1], [47, 1]]",1,[],[],1,57,9216.0
58,unet_layer4,[31],"[60, 61]",9216,23,64,input,,[31],"[60, 61]",60,"[[60, 5], [60, 1], [61, 1]]",1,[],[],1,58,9262.0
76,unet_layer5,[8],"[76, 92]",9216,39,64,weight,,[8],"[76, 92]",76,"[[76, 3], [76, 1], [92, 1]]",1,[],[],1,76,9216.0
77,unet_layer5,[8],"[77, 93]",9216,39,64,weight,,[8],"[77, 93]",77,"[[77, 3], [77, 1], [93, 1]]",1,[],[],1,77,9216.0
78,unet_layer5,[8],"[78, 94]",9216,39,64,weight,,[8],"[78, 94]",78,"[[78, 3], [78, 1], [94, 1]]",1,[],[],1,78,9228.0
120,unet_layer7,[8],"[74, 106]",576,39,256,weight,,[8],"[74, 106]",74,"[[74, 3], [74, 1], [90, 3], [90, 1], [106, 1]]",2,[],[],1,120,576.0
121,unet_layer7,[8],"[75, 107]",576,39,256,weight,,[8],"[75, 107]",75,"[[75, 3], [75, 1], [91, 3], [91, 1], [107, 1]]",2,[],[],1,121,576.0
122,unet_layer7,[8],"[90, 122]",576,39,256,weight,,[8],"[90, 122]",90,"[[90, 3], [90, 1], [106, 3], [106, 1], [122, 1]]",2,[236],[],1,122,618.0
140,unet_layer8,[127],"[72, 88, 104, 120]",1152,39,512,weight,,[127],"[72, 88, 104, 120]",72,"[[72, 3], [72, 1], [88, 3], [88, 1], [104, 3], [104, 1], [120, 1]]",3,[],[],1,140,1152.0
142,unet_layer8,[123],"[72, 73]",1152,6,512,input,,[123],"[72, 73]",72,"[[72, 5], [72, 1], [73, 1]]",1,[],[],1,142,1163.0
143,unet_layer8,[123],"[88, 89]",1152,6,512,input,,[123],"[88, 89]",88,"[[88, 5], [88, 1], [89, 1]]",1,[],[],1,143,1152.0
144,unet_layer8,[123],"[104, 105]",1152,6,512,input,,[123],"[104, 105]",104,"[[104, 5], [104, 1], [105, 1]]",1,"[29, 219]",[],1,144,1173.0
162,unet_layer9,[127],"[136, 168]",2304,7,256,weight,,[127],"[136, 168]",136,"[[136, 3], [136, 1], [152, 3], [152, 1], [168, 1]]",2,[189],[],1,162,2304.0
163,unet_layer9,[127],"[137, 169]",2304,7,256,weight,,[127],"[137, 169]",137,"[[137, 3], [137, 1], [153, 3], [153, 1], [169, 1]]",2,[],[],1,163,2313.0
164,unet_layer9,[127],"[152, 184]",2304,7,256,weight,,[127],"[152, 184]",152,"[[152, 3], [152, 1], [168, 3], [168, 1], [184, 1]]",2,[],[],1,164,2304.0
166,unet_layer9,[121],"[136, 137, 152, 153]",2304,7,256,input,,[121],"[136, 137, 152, 153]",136,"[[136, 3], [136, 5], [136, 1], [152, 5], [152, 1], [137, 1], [153, 1]]",2,[],[],1,166,2304.0
184,unet_layer10,[127],"[138, 155]",192,9,2048,weight,,[127],"[138, 155]",138,"[[138, 3], [138, 5], [138, 1], [154, 5], [154, 1], [139, 1], [155, 1]]",2,[],[],1,184,192.0
